vol,logmean,gap_area_percent,forest_map,closed,open,other,fire,fire_bb,w,year
32.9244015727882,1.98576399701733,63.4722222222222,closed,1,0,0,0,1,2.32727265357971,2022
0,1.67826680585358,98.9722222222222,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2022
0,0,100,other,0,0,1,0,1,1,2023
109.21807614988,2.56085503194501,38.5555555555556,closed,1,0,0,0,1,2.28571438789368,2023
0,0,100,other,0,0,1,0,1,1,2023
0,0,100,other,0,0,1,0,1,8,2023
55.080518815979,2.06439039689539,36.75,closed,1,0,0,0,1,2.28571438789368,2023
19.5353999485781,1.70152672329422,81.6388888888889,closed,1,0,0,0,1,4.57142877578735,2023
0,0,100,other,0,0,1,0,1,1,2023
0,0,100,other,0,0,1,0,1,1,2023
0,0,100,other,0,0,1,0,1,1,2023
0,1.88749392739105,95.5277777777778,open,0,1,0,0,1,2.28571438789368,2023
0,1.85450287860412,98.5277777777778,other,0,0,1,0,1,1,2023
0,1.79056648335555,99.2222222222222,other,0,0,1,0,1,1,2023
82.6196552563498,2.07883525014321,60.6111111111111,closed,1,0,0,0,1,2.28571438789368,2023
0,0,100,other,0,0,1,1,1,1,2023
37.0380993804112,2.10944644921915,57.7777777777778,closed,1,0,0,1,1,4.57142877578735,2023
19.547729911535,2.02234412108192,86.3055555555556,open,0,1,0,0,1,4.57142877578735,2023
0,0,100,other,0,0,1,0,1,1,2023
9.88864776566504,1.74344992532101,98.6111111111111,other,0,0,1,0,1,2.28571438789368,2023
0,0,100,other,0,0,1,0,1,1,2023
110.6509947648,2.11461233616195,0,closed,1,0,0,0,1,2.28571438789368,2023
0,0,100,other,0,0,1,0,1,1,2023
0,0,100,other,0,0,1,0,1,1,2023
0,0,100,other,0,0,1,0,1,1,2023
0,0,100,other,0,0,1,0,1,4,2023
0,1.85079706068448,98.7777777777778,other,0,0,1,1,1,4.57142877578735,2023
116.659083948633,2.26619786064567,0.833333333333333,closed,1,0,0,0,1,4.57142877578735,2023
0,2.03984731009627,83.9722222222222,closed,1,0,0,0,1,2.28571438789368,2023
0,0,100,other,0,0,1,0,1,1,2023
0,0,100,other,0,0,1,0,1,1,2023
42.6236046427227,2.08575440824416,53.1666666666667,closed,1,0,0,0,1,2.28571438789368,2023
0,0,100,other,0,0,1,1,1,1,2023
0,0,100,other,0,0,1,0,1,1,2023
0,0,100,other,0,0,1,0,1,1,2023
0,0,100,other,0,0,1,0,1,1,2023
0,0,100,other,0,0,1,0,1,1,2023
43.9273394182516,1.89417560368585,76,open,0,1,0,0,1,2.28571438789368,2023
0,0,100,other,0,0,1,0,1,4,2023
0,1.9896562648133,81.4722222222222,other,0,0,1,0,1,1,2023
50.5651166557867,1.89957774459578,86.9444444444444,closed,1,0,0,0,1,2.28571438789368,2023
0,1.99685381841625,41.6666666666667,other,0,0,1,0,1,1,2023
0,1.61700516711423,99.8611111111111,other,0,0,1,0,1,1,2023
0,0,100,other,0,0,1,0,1,1,2023
0,0,100,open,0,1,0,1,1,2.28571438789368,2023
0,0,100,other,0,0,1,0,1,1,2023
0,0,100,closed,1,0,0,0,1,4.57142877578735,2023
0,0,100,other,0,0,1,0,1,1,2023
0,0,100,other,0,0,1,0,1,1,2023
0,0,100,other,0,0,1,0,1,1,2023
0,0,100,other,0,0,1,0,1,1,2023
0,0,100,other,0,0,1,0,1,1,2023
0,0,100,other,0,0,1,0,1,1,2023
42.0834163040851,1.92939444384068,63.0833333333333,other,0,0,1,0,1,2.28571438789368,2023
0,0,100,open,0,1,0,0,1,1,2023
0,0,100,other,0,0,1,0,1,1,2023
0,0,100,other,0,0,1,0,1,1,2023
0,1.61478267810618,45.1111111111111,other,0,0,1,0,1,1,2023
0,2.57197784268036,96.0555555555556,other,0,0,1,0,1,1,2024
0,2.08609253479206,94.8055555555556,other,0,0,1,0,1,1,2024
0,1.75337397846848,99.2777777777778,closed,1,0,0,0,1,2.28571438789368,2024
0,1.84794559239971,97.2222222222222,other,0,0,1,0,1,1,2024
109.453903053183,2.02385351222517,20.8888888888889,closed,1,0,0,0,1,2.28571438789368,2024
0,0,100,other,0,0,1,0,1,1,2024
0,0,100,other,0,0,1,0,1,1,2024
0,0,100,other,0,0,1,1,1,1,2024
0,0,100,other,0,0,1,0,1,1,2024
0,2.28136647767922,41.1111111111111,other,0,0,1,0,1,2.28571438789368,2024
0,0,100,other,0,0,1,1,1,8,2024
0,0,100,other,0,0,1,0,1,1,2024
2.74425870236248,0,100,other,0,0,1,0,1,2.28571438789368,2024
9.45574141567189,1.74065432980321,90.25,closed,1,0,0,0,1,4.57142877578735,2024
0,0,100,other,0,0,1,0,1,1,2024
0,0,100,other,0,0,1,0,1,1,2024
7.9534287834928,2.10460674511068,95.25,other,0,0,1,0,1,2.28571438789368,2024
0,0,100,other,0,0,1,1,1,1,2024
27.233934225256,2.24283986157307,69.9722222222222,closed,1,0,0,1,1,2.28571438789368,2024
0,1.614525200457,99.9444444444444,other,0,0,1,0,1,1,2024
0,0,100,other,0,0,1,0,1,1,2024
4.44373588305149,0,100,closed,1,0,0,0,1,2.28571438789368,2024
0,0,100,other,0,0,1,0,1,1,2024
20.4626276413705,1.81278118979703,77.3888888888889,closed,1,0,0,0,1,4.57142877578735,2024
0,0,100,other,0,0,1,0,1,1,2024
0,0,100,other,0,0,1,0,1,1,2024
0,0,100,other,0,0,1,0,1,4,2024
0,0,100,other,0,0,1,0,1,1,2024
0,1.86412933623467,99.9166666666667,other,0,0,1,0,1,1,2024
32.2774095885559,1.79212724442032,88.1388888888889,closed,1,0,0,0,1,4.57142877578735,2024
0,1.68036742467378,99.8611111111111,closed,1,0,0,1,1,4,2024
11.6128229985141,1.64055254218801,99.3333333333333,closed,1,0,0,0,1,4.57142877578735,2024
0,0,100,other,0,0,1,0,1,1,2024
0,0,100,other,0,0,1,0,1,1,2024
0,0,100,other,0,0,1,1,1,1,2024
0,0,100,other,0,0,1,0,1,1,2024
0,1.85212975798749,89.3055555555556,other,0,0,1,0,1,1,2024
60.6854100310723,1.67749398799488,82.75,closed,1,0,0,0,1,2.28571438789368,2024
0,0,100,other,0,0,1,0,1,1,2024
0,0,100,other,0,0,1,0,1,1,2024
0,0,100,other,0,0,1,0,1,1,2024
22.0425408572421,1.80944172371168,87.3055555555556,closed,1,0,0,0,1,4.57142877578735,2024
0,0,100,other,0,0,1,1,1,4.57142877578735,2024
0,1.73554129765935,86.3333333333333,other,0,0,1,0,1,1,2024
0,1.88452546076177,89.7777777777778,other,0,0,1,0,1,1,2024
0,0,100,other,0,0,1,0,1,1,2024
0,0,100,other,0,0,1,0,1,1,2024
0,2.00684001407041,93.6111111111111,other,0,0,1,0,1,1,2024
0,0,100,other,0,0,1,0,1,1,2024
0,0,100,other,0,0,1,0,1,1,2024
0,0,100,other,0,0,1,0,1,1,2024
0,0,100,other,0,0,1,0,1,1,2024
0,0,100,other,0,0,1,0,1,1,2024
0,1.66956400888916,0,other,0,0,1,0,1,1,2024
0,0,100,other,0,0,1,0,1,4,2024
